# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	10237	10260	+							X928_RS10200	24		partial;pseudo
CDS	without_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	10237	10260	+				hypothetical protein			X928_RS10200	24		partial;pseudo
gene	pseudogene	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	10264	10634	+					flgC		X928_RS00070	371		partial;pseudo;old_locus_tag=X928_00070
CDS	without_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000002.1	10264	10634	+				flagellar basal body rod protein FlgC	flgC		X928_RS00070	371		partial;pseudo
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	50	349	+					fliE		X928_RS00075	300		old_locus_tag=X928_00075
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	50	349	+	WP_103077953.1	WP_103077953.1		flagellar hook-basal body complex protein FliE	fliE		X928_RS00075	300	99	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	503	712	+							X928_RS00080	210		old_locus_tag=X928_00080
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	503	712	+	WP_103077860.1	WP_103077860.1		hypothetical protein			X928_RS00080	210	69	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	727	1962	+							X928_RS00085	1236		old_locus_tag=X928_00085
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	727	1962	+	WP_103077954.1	WP_103077954.1		MFS transporter			X928_RS00085	1236	411	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	2060	3409	+					mgtE		X928_RS00090	1350		old_locus_tag=X928_00090
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	2060	3409	+	WP_103077955.1	WP_103077955.1		magnesium transporter	mgtE		X928_RS00090	1350	449	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	3465	4364	+							X928_RS00095	900		old_locus_tag=X928_00095
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	3465	4364	+	WP_169926234.1	WP_169926234.1		HDOD domain-containing protein			X928_RS00095	900	299	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	4351	4704	+					rbfA		X928_RS00100	354		old_locus_tag=X928_00100
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	4351	4704	+	WP_103077864.1	WP_103077864.1		30S ribosome-binding factor RbfA	rbfA		X928_RS00100	354	117	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	4701	5618	+					truB		X928_RS00105	918		old_locus_tag=X928_00105
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	4701	5618	+	WP_103077957.1	WP_103077957.1		tRNA pseudouridine(55) synthase TruB	truB		X928_RS00105	918	305	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	5621	6511	+					ribF		X928_RS00110	891		old_locus_tag=X928_00110
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	5621	6511	+	WP_103077958.1	WP_103077958.1		riboflavin biosynthesis protein RibF	ribF		X928_RS00110	891	296	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	6529	8283	+							X928_RS00115	1755		old_locus_tag=X928_00115
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	6529	8283	+	WP_103077959.1	WP_103077959.1		M3 family oligoendopeptidase			X928_RS00115	1755	584	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	8346	11003	+							X928_RS00120	2658		old_locus_tag=X928_00120
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	8346	11003	+	WP_103077960.1	WP_103077960.1		CBS domain-containing protein			X928_RS00120	2658	885	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	11304	12530	+					argJ		X928_RS00125	1227		old_locus_tag=X928_00125
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	11304	12530	+	WP_103077961.1	WP_103077961.1		bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	argJ		X928_RS00125	1227	408	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	12527	13426	+					argB		X928_RS00130	900		old_locus_tag=X928_00130
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	12527	13426	+	WP_103077870.1	WP_103077870.1		acetylglutamate kinase	argB		X928_RS00130	900	299	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	13413	14597	+							X928_RS00135	1185		old_locus_tag=X928_00135
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	13413	14597	+	WP_103077962.1	WP_103077962.1		acetylornithine transaminase			X928_RS00135	1185	394	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	14599	15642	+					carA		X928_RS00140	1044		old_locus_tag=X928_00140
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	14599	15642	+	WP_103077963.1	WP_103077963.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		X928_RS00140	1044	347	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	15668	20158	+					carB		X928_RS00145	4491		old_locus_tag=X928_00145
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	15668	20158	+	WP_103077964.1	WP_103077964.1		carbamoyl-phosphate synthase (glutamine-hydrolyzing) large subunit	carB		X928_RS00145	4491	1496	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	20155	21480	+					argH		X928_RS00150	1326		old_locus_tag=X928_00150
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	20155	21480	+	WP_103077965.1	WP_103077965.1		argininosuccinate lyase	argH		X928_RS00150	1326	441	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	21477	22514	+					argC		X928_RS00155	1038		old_locus_tag=X928_00155
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	21477	22514	+	WP_103077966.1	WP_103077966.1		N-acetyl-gamma-glutamyl-phosphate reductase	argC		X928_RS00155	1038	345	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	22703	23857	+					nifV		X928_RS00160	1155		old_locus_tag=X928_00160
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	22703	23857	+	WP_103077967.1	WP_103077967.1		homocitrate synthase	nifV		X928_RS00160	1155	384	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	23832	25091	+							X928_RS00165	1260		old_locus_tag=X928_00165
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	23832	25091	+	WP_103077968.1	WP_103077968.1		3-isopropylmalate dehydratase large subunit			X928_RS00165	1260	419	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	25122	25625	+							X928_RS00170	504		old_locus_tag=X928_00170
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	25122	25625	+	WP_103077969.1	WP_103077969.1		3-isopropylmalate dehydratase small subunit			X928_RS00170	504	167	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	25637	26632	+							X928_RS00175	996		old_locus_tag=X928_00175
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	25637	26632	+	WP_103077970.1	WP_103077970.1		isocitrate/isopropylmalate dehydrogenase family protein			X928_RS00175	996	331	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27114	27317	-							X928_RS10205	204		
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27114	27317	-	WP_245855526.1	WP_245855526.1		hypothetical protein			X928_RS10205	204	67	
gene	tRNA	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27758	27834	-							X928_RS00185	77		old_locus_tag=X928_00185
tRNA		GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27758	27834	-				tRNA-Cys			X928_RS00185	77		anticodon=GCA
gene	tRNA	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27839	27915	-							X928_RS00190	77		old_locus_tag=X928_00190
tRNA		GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27839	27915	-				tRNA-Asp			X928_RS00190	77		anticodon=GTC
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27947	29293	-					tig		X928_RS00195	1347		old_locus_tag=X928_00195
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	27947	29293	-	WP_169926235.1	WP_169926235.1		trigger factor	tig		X928_RS00195	1347	448	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	29499	30224	+							X928_RS00200	726		old_locus_tag=X928_00200
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	29499	30224	+	WP_245857130.1	WP_245857130.1		WecB/TagA/CpsF family glycosyltransferase			X928_RS00200	726	241	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	30225	31166	-							X928_RS00205	942		old_locus_tag=X928_00205
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	30225	31166	-	WP_103077881.1	WP_103077881.1		hypothetical protein			X928_RS00205	942	313	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	31169	32278	-							X928_RS00210	1110		old_locus_tag=X928_00210
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	31169	32278	-	WP_103077973.1	WP_103077973.1		DUF4097 family beta strand repeat-containing protein			X928_RS00210	1110	369	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	32295	32669	-							X928_RS00215	375		old_locus_tag=X928_00215
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	32295	32669	-	WP_103077883.1	WP_103077883.1		DUF2089 domain-containing protein			X928_RS00215	375	124	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	32922	34202	+							X928_RS00220	1281		old_locus_tag=X928_00220
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	32922	34202	+	WP_103077884.1	WP_103077884.1		alpha-amylase family glycosyl hydrolase			X928_RS00220	1281	426	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	34254	35168	+					ftsY		X928_RS00225	915		old_locus_tag=X928_00225
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	34254	35168	+	WP_103077974.1	WP_103077974.1		signal recognition particle-docking protein FtsY	ftsY		X928_RS00225	915	304	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	35165	35827	+							X928_RS00230	663		old_locus_tag=X928_00230
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	35165	35827	+	WP_103077975.1	WP_103077975.1		DUF2225 domain-containing protein			X928_RS00230	663	220	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	35824	37617	+							X928_RS00235	1794		old_locus_tag=X928_00235
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	35824	37617	+	WP_103077976.1	WP_103077976.1		LysM peptidoglycan-binding domain-containing protein			X928_RS00235	1794	597	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	37717	38187	+							X928_RS00240	471		old_locus_tag=X928_00240
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	37717	38187	+	WP_103077888.1	WP_103077888.1		Rrf2 family transcriptional regulator			X928_RS00240	471	156	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	38180	39268	+					mnmA		X928_RS00245	1089		old_locus_tag=X928_00245
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	38180	39268	+	WP_103077977.1	WP_103077977.1		tRNA 2-thiouridine(34) synthase MnmA	mnmA		X928_RS00245	1089	362	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	39287	39775	+					coaD		X928_RS00250	489		old_locus_tag=X928_00250
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	39287	39775	+	WP_103077890.1	WP_103077890.1		pantetheine-phosphate adenylyltransferase	coaD		X928_RS00250	489	162	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	39935	40528	+					tsf		X928_RS00255	594		old_locus_tag=X928_00255
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	39935	40528	+	WP_103077891.1	WP_103077891.1		translation elongation factor Ts	tsf		X928_RS00255	594	197	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	40627	41325	+					pyrH		X928_RS00260	699		old_locus_tag=X928_00260
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	40627	41325	+	WP_103077978.1	WP_103077978.1		UMP kinase	pyrH		X928_RS00260	699	232	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	41405	42703	+					eno		X928_RS00265	1299		old_locus_tag=X928_00265
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	41405	42703	+	WP_103077979.1	WP_103077979.1		phosphopyruvate hydratase	eno		X928_RS00265	1299	432	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	42811	43890	-							X928_RS00270	1080		old_locus_tag=X928_00270
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	42811	43890	-	WP_103077980.1	WP_103077980.1		hypothetical protein			X928_RS00270	1080	359	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	43900	44409	-							X928_RS00275	510		old_locus_tag=X928_00275
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	43900	44409	-	WP_103077895.1	WP_103077895.1		hypothetical protein			X928_RS00275	510	169	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	44409	44732	-							X928_RS00280	324		old_locus_tag=X928_00280
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	44409	44732	-	WP_103077896.1	WP_103077896.1		hypothetical protein			X928_RS00280	324	107	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	45037	46395	+							X928_RS00285	1359		old_locus_tag=X928_00285
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	45037	46395	+	WP_103077981.1	WP_103077981.1		purine permease			X928_RS00285	1359	452	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	46653	48119	+							X928_RS00290	1467		old_locus_tag=X928_00290
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	46653	48119	+	WP_103077982.1	WP_103077982.1		pyridoxal-phosphate dependent enzyme			X928_RS00290	1467	488	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	48121	49383	+							X928_RS00295	1263		old_locus_tag=X928_00295
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000003.1	48121	49383	+	WP_103077983.1	WP_103077983.1		threonine synthase			X928_RS00295	1263	420	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	72	992	+							X928_RS00300	921		old_locus_tag=X928_00305
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	72	992	+	WP_103077984.1	WP_103077984.1		pseudouridine-5'-phosphate glycosidase			X928_RS00300	921	306	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	1002	1886	+							X928_RS00305	885		old_locus_tag=X928_00310
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	1002	1886	+	WP_245857131.1	WP_245857131.1		pyridoxamine kinase			X928_RS00305	885	294	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	1939	3159	+							X928_RS00310	1221		old_locus_tag=X928_00315
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	1939	3159	+	WP_103077986.1	WP_103077986.1		arginine deiminase			X928_RS00310	1221	406	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	3156	4478	+							X928_RS00315	1323		old_locus_tag=X928_00320
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	3156	4478	+	WP_211286403.1	WP_211286403.1		cyclic 2,3-diphosphoglycerate synthase			X928_RS00315	1323	440	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	4571	5281	+							X928_RS00320	711		old_locus_tag=X928_00325
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	4571	5281	+	WP_103077987.1	WP_103077987.1		hypothetical protein			X928_RS00320	711	236	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	5289	6455	+							X928_RS00325	1167		old_locus_tag=X928_00330
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	5289	6455	+	WP_169926237.1	WP_169926237.1		LCP family protein			X928_RS00325	1167	388	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	6442	7530	+							X928_RS00330	1089		old_locus_tag=X928_00335
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	6442	7530	+	WP_103077989.1	WP_103077989.1		FtsX-like permease family protein			X928_RS00330	1089	362	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	7546	7992	+					ndk		X928_RS00335	447		old_locus_tag=X928_00340
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	7546	7992	+	WP_103077990.1	WP_103077990.1		nucleoside-diphosphate kinase	ndk		X928_RS00335	447	148	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	8013	9134	+					glgD		X928_RS00340	1122		old_locus_tag=X928_00345
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	8013	9134	+	WP_103077991.1	WP_103077991.1		glucose-1-phosphate adenylyltransferase subunit GlgD	glgD		X928_RS00340	1122	373	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	9149	10405	+							X928_RS00345	1257		old_locus_tag=X928_00350
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	9149	10405	+	WP_103077992.1	WP_103077992.1		glucose-1-phosphate adenylyltransferase			X928_RS00345	1257	418	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	10455	11426	+							X928_RS00350	972		old_locus_tag=X928_00355
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	10455	11426	+	WP_103077993.1	WP_103077993.1		DUF4899 domain-containing protein			X928_RS00350	972	323	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	11428	11718	+							X928_RS00355	291		old_locus_tag=X928_00360
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	11428	11718	+	WP_103077994.1	WP_103077994.1		hypothetical protein			X928_RS00355	291	96	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	11760	12647	+							X928_RS00360	888		old_locus_tag=X928_00365
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	11760	12647	+	WP_103077995.1	WP_103077995.1		radical SAM protein			X928_RS00360	888	295	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	12644	13354	-							X928_RS00365	711		old_locus_tag=X928_00370
CDS	with_protein	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	12644	13354	-	WP_169926238.1	WP_169926238.1		glycerophosphodiester phosphodiesterase			X928_RS00365	711	236	
gene	protein_coding	GCF_002895605.1	Primary Assembly	unplaced scaffold		NZ_AZRM01000004.1	13443	14825	+							X928_RS00370	1383		old_locus_tag=X928_00375
