# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	2785	3690	-	WP_072866078.1	WP_072866078.1		undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase			BUA62_RS10955	906	301	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	3701	5545	-							BUA62_RS10960	1845		old_locus_tag=SAMN02745164_02220
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	3701	5545	-	WP_072866079.1	WP_072866079.1		polysaccharide biosynthesis protein			BUA62_RS10960	1845	614	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	5717	5911	+							BUA62_RS10965	195		partial;old_locus_tag=SAMN02745164_02221
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000066.1	5717	5911	+	WP_143148384.1	WP_143148384.1		hypothetical protein			BUA62_RS10965	195	65	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	1	249	-							BUA62_RS10925	249		partial;old_locus_tag=SAMN02745164_02213
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	1	249	-	WP_200782449.1	WP_200782449.1		transposase family protein			BUA62_RS10925	249	83	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	511	1413	-							BUA62_RS10930	903		old_locus_tag=SAMN02745164_02214
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	511	1413	-	WP_072866074.1	WP_072866074.1		MBL fold metallo-hydrolase			BUA62_RS10930	903	300	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	1847	5293	+							BUA62_RS10935	3447		old_locus_tag=SAMN02745164_02215
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	1847	5293	+	WP_072866075.1	WP_072866075.1		DEAD/DEAH box helicase			BUA62_RS10935	3447	1148	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	5563	6147	+							BUA62_RS10940	585		old_locus_tag=SAMN02745164_02216
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000065.1	5563	6147	+	WP_234970323.1	WP_234970323.1		ATP-binding protein			BUA62_RS10940	585	194	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000074.1	281	1603	+							BUA62_RS11155	1323		old_locus_tag=SAMN02745164_02263
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000074.1	281	1603	+	WP_072866108.1	WP_072866108.1		radical SAM protein			BUA62_RS11155	1323	440	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000074.1	1581	3215	+							BUA62_RS11160	1635		old_locus_tag=SAMN02745164_02264
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000074.1	1581	3215	+	WP_072866109.1	WP_072866109.1		ABC transporter ATP-binding protein/permease			BUA62_RS11160	1635	544	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	67	1248	-							BUA62_RS10895	1182		old_locus_tag=SAMN02745164_02207
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	67	1248	-	WP_072866070.1	WP_072866070.1		class I SAM-dependent rRNA methyltransferase			BUA62_RS10895	1182	393	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	1344	2504	-							BUA62_RS10900	1161		old_locus_tag=SAMN02745164_02208
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	1344	2504	-	WP_072866071.1	WP_072866071.1		hypothetical protein			BUA62_RS10900	1161	386	
gene	RNase_P_RNA	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	2609	2934	-					rnpB		BUA62_RS10905	326		old_locus_tag=SAMN02745164_02209
ncRNA	RNase_P_RNA	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	2609	2934	-				RNase P RNA component class A	rnpB		BUA62_RS10905	326		
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	2931	3842	-							BUA62_RS10910	912		old_locus_tag=SAMN02745164_02210
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	2931	3842	-	WP_072866072.1	WP_072866072.1		TIGR01212 family radical SAM protein			BUA62_RS10910	912	303	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	3940	5205	-							BUA62_RS10915	1266		old_locus_tag=SAMN02745164_02211
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	3940	5205	-	WP_084670802.1	WP_084670802.1		amidohydrolase			BUA62_RS10915	1266	421	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	5307	6695	-							BUA62_RS10920	1389		partial;old_locus_tag=SAMN02745164_02212
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000064.1	5307	6695	-	WP_143148346.1	WP_143148346.1		HAMP domain-containing methyl-accepting chemotaxis protein			BUA62_RS10920	1389	462	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	1	468	+							BUA62_RS10825	468		partial;old_locus_tag=SAMN02745164_02192
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	1	468	+	WP_200782451.1	WP_200782451.1		PD-(D/E)XK nuclease domain-containing protein			BUA62_RS10825	468	155	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	549	1682	-							BUA62_RS10830	1134		old_locus_tag=SAMN02745164_02193
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	549	1682	-	WP_072866059.1	WP_072866059.1		amidohydrolase			BUA62_RS10830	1134	377	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	1903	3777	+							BUA62_RS10835	1875		old_locus_tag=SAMN02745164_02194
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	1903	3777	+	WP_072866060.1	WP_072866060.1		ribonucleoside triphosphate reductase			BUA62_RS10835	1875	624	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	3782	4426	+							BUA62_RS10840	645		old_locus_tag=SAMN02745164_02195
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	3782	4426	+	WP_072866061.1	WP_072866061.1		anaerobic ribonucleoside-triphosphate reductase activating protein			BUA62_RS10840	645	214	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	4485	5408	+							BUA62_RS10845	924		old_locus_tag=SAMN02745164_02196
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	4485	5408	+	WP_072866062.1	WP_072866062.1		diacylglycerol kinase family lipid kinase			BUA62_RS10845	924	307	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	5410	6075	+							BUA62_RS10850	666		old_locus_tag=SAMN02745164_02197
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	5410	6075	+	WP_072866063.1	WP_072866063.1		DUF554 domain-containing protein			BUA62_RS10850	666	221	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	6098	6721	+							BUA62_RS10855	624		old_locus_tag=SAMN02745164_02198
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000062.1	6098	6721	+	WP_072866064.1	WP_072866064.1		N-glycosylase/DNA lyase			BUA62_RS10855	624	207	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000084.1	261	968	-							BUA62_RS11250	708		old_locus_tag=SAMN02745164_02284
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000084.1	261	968	-	WP_072866122.1	WP_072866122.1		class I SAM-dependent methyltransferase			BUA62_RS11250	708	235	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	1	242	-							BUA62_RS10785	242		partial;old_locus_tag=SAMN02745164_02184
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	1	242	-	WP_143148382.1	WP_143148382.1		transposase family protein			BUA62_RS10785	242	80	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	269	862	-							BUA62_RS10790	594		old_locus_tag=SAMN02745164_02185
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	269	862	-	WP_072866053.1	WP_072866053.1		hypothetical protein			BUA62_RS10790	594	197	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	879	2018	-							BUA62_RS10795	1140		old_locus_tag=SAMN02745164_02186
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	879	2018	-	WP_072866054.1	WP_072866054.1		hypothetical protein			BUA62_RS10795	1140	379	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	2161	2721	-							BUA62_RS10800	561		old_locus_tag=SAMN02745164_02187
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	2161	2721	-	WP_072866055.1	WP_072866055.1		hypothetical protein			BUA62_RS10800	561	186	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	2811	3119	-							BUA62_RS10805	309		old_locus_tag=SAMN02745164_02188
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	2811	3119	-	WP_072866056.1	WP_072866056.1		metallophosphoesterase			BUA62_RS10805	309	102	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	3135	4556	-							BUA62_RS10810	1422		old_locus_tag=SAMN02745164_02189
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	3135	4556	-	WP_072866057.1	WP_072866057.1		putative DNA binding domain-containing protein			BUA62_RS10810	1422	473	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	4601	5533	-							BUA62_RS10815	933		old_locus_tag=SAMN02745164_02190
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	4601	5533	-	WP_072866058.1	WP_072866058.1		hypothetical protein			BUA62_RS10815	933	310	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	6226	7168	+							BUA62_RS10820	943		partial;old_locus_tag=SAMN02745164_02191
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000061.1	6226	7168	+	WP_143148383.1	WP_143148383.1		AAA-like domain-containing protein			BUA62_RS10820	943	314	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	1	1133	-							BUA62_RS10705	1133		partial;old_locus_tag=SAMN02745164_02169
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	1	1133	-	WP_072866040.1	WP_072866040.1		AAA-like domain-containing protein			BUA62_RS10705	1133	377	partial
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	1231	2040	-					amrB		BUA62_RS10710	810		old_locus_tag=SAMN02745164_02170
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	1231	2040	-	WP_072866041.1	WP_072866041.1		AmmeMemoRadiSam system protein B	amrB		BUA62_RS10710	810	269	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	2042	4585	-							BUA62_RS10715	2544		old_locus_tag=SAMN02745164_02171
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	2042	4585	-	WP_072866042.1	WP_072866042.1		hypothetical protein			BUA62_RS10715	2544	847	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	4582	5160	-							BUA62_RS10720	579		old_locus_tag=SAMN02745164_02172
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	4582	5160	-	WP_072866043.1	WP_072866043.1		hypothetical protein			BUA62_RS10720	579	192	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	5157	5570	-							BUA62_RS10725	414		old_locus_tag=SAMN02745164_02173
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	5157	5570	-	WP_072866044.1	WP_072866044.1		hypothetical protein			BUA62_RS10725	414	137	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	5554	6060	-							BUA62_RS10730	507		old_locus_tag=SAMN02745164_02174
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	5554	6060	-	WP_072866045.1	WP_072866045.1		hypothetical protein			BUA62_RS10730	507	168	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	6054	6446	-							BUA62_RS10735	393		old_locus_tag=SAMN02745164_02175
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	6054	6446	-	WP_072866046.1	WP_072866046.1		hypothetical protein			BUA62_RS10735	393	130	
gene	protein_coding	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	6443	7564	-							BUA62_RS10740	1122		old_locus_tag=SAMN02745164_02176
CDS	with_protein	GCF_900129175.1	Primary Assembly	unplaced scaffold		NZ_FQUI01000059.1	6443	7564	-	WP_072866047.1	WP_072866047.1		type II secretion system F family protein			BUA62_RS10740	1122	373	
