# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	26845	28167	+	WP_012207886.1	WP_012207886.1		phosphoglucosamine mutase	glmM		PMOB_RS00150	1323	440	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	28229	29590	-							PMOB_RS00155	1362		old_locus_tag=Pmob_0031
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	28229	29590	-	WP_012207887.1	WP_012207887.1		Do family serine endopeptidase			PMOB_RS00155	1362	453	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	29680	30270	-					pyrE		PMOB_RS00160	591		old_locus_tag=Pmob_0032
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	29680	30270	-	WP_012207888.1	WP_012207888.1		orotate phosphoribosyltransferase	pyrE		PMOB_RS00160	591	196	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	30374	31111	-							PMOB_RS00165	738		old_locus_tag=Pmob_0033
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	30374	31111	-	WP_012207889.1	WP_012207889.1		alpha/beta hydrolase			PMOB_RS00165	738	245	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	31131	32384	-					rho		PMOB_RS00170	1254		old_locus_tag=Pmob_0034
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	31131	32384	-	WP_041534166.1	WP_041534166.1		transcription termination factor Rho	rho		PMOB_RS00170	1254	417	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	32866	33828	-							PMOB_RS00175	963		old_locus_tag=Pmob_0035
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	32866	33828	-	WP_012207891.1	WP_012207891.1		DUF1385 domain-containing protein			PMOB_RS00175	963	320	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	33812	34042	-							PMOB_RS00180	231		old_locus_tag=Pmob_0036
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	33812	34042	-	WP_231282472.1	WP_231282472.1		hypothetical protein			PMOB_RS00180	231	76	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	34069	34368	-							PMOB_RS00185	300		old_locus_tag=Pmob_0037
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	34069	34368	-	WP_012207893.1	WP_012207893.1		stage V sporulation protein S			PMOB_RS00185	300	99	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	34762	35640	+							PMOB_RS00190	879		old_locus_tag=Pmob_0038
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	34762	35640	+	WP_012207894.1	WP_012207894.1		ABC transporter substrate-binding protein			PMOB_RS00190	879	292	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	35637	36647	+							PMOB_RS00195	1011		old_locus_tag=Pmob_0039
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	35637	36647	+	WP_012207895.1	WP_012207895.1		iron ABC transporter permease			PMOB_RS00195	1011	336	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	36644	37414	+							PMOB_RS00200	771		old_locus_tag=Pmob_0040
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	36644	37414	+	WP_012207896.1	WP_012207896.1		ABC transporter ATP-binding protein			PMOB_RS00200	771	256	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	37425	38177	+							PMOB_RS00205	753		old_locus_tag=Pmob_0041
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	37425	38177	+	WP_012207897.1	WP_012207897.1		PfkB family carbohydrate kinase			PMOB_RS00205	753	250	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	38187	38639	-							PMOB_RS00210	453		old_locus_tag=Pmob_0042
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	38187	38639	-	WP_012207898.1	WP_012207898.1		Rrf2 family transcriptional regulator			PMOB_RS00210	453	150	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	38780	39325	-							PMOB_RS00215	546		old_locus_tag=Pmob_0043
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	38780	39325	-	WP_012207899.1	WP_012207899.1		ECF transporter S component			PMOB_RS00215	546	181	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	39354	40055	-							PMOB_RS00220	702		old_locus_tag=Pmob_0044
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	39354	40055	-	WP_012207900.1	WP_012207900.1		2-phosphosulfolactate phosphatase			PMOB_RS00220	702	233	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	40087	40740	-							PMOB_RS00225	654		old_locus_tag=Pmob_0045
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	40087	40740	-	WP_012207901.1	WP_012207901.1		histidine phosphatase family protein			PMOB_RS00225	654	217	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	40758	42281	-					guaA		PMOB_RS00230	1524		old_locus_tag=Pmob_0046
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	40758	42281	-	WP_012207902.1	WP_012207902.1		glutamine-hydrolyzing GMP synthase	guaA		PMOB_RS00230	1524	507	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	42312	43604	-							PMOB_RS00235	1293		old_locus_tag=Pmob_0047
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	42312	43604	-	WP_012207903.1	WP_012207903.1		nucleotidyltransferase			PMOB_RS00235	1293	430	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	43994	44752	+					surE		PMOB_RS00240	759		old_locus_tag=Pmob_0048
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	43994	44752	+	WP_012207904.1	WP_012207904.1		5'/3'-nucleotidase SurE	surE		PMOB_RS00240	759	252	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	44757	45293	+					def		PMOB_RS00245	537		old_locus_tag=Pmob_0049
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	44757	45293	+	WP_012207905.1	WP_012207905.1		peptide deformylase	def		PMOB_RS00245	537	178	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	45290	46249	+					fmt		PMOB_RS00250	960		old_locus_tag=Pmob_0050
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	45290	46249	+	WP_012207906.1	WP_012207906.1		methionyl-tRNA formyltransferase	fmt		PMOB_RS00250	960	319	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	46236	47003	-							PMOB_RS00255	768		old_locus_tag=Pmob_0051
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	46236	47003	-	WP_012207907.1	WP_012207907.1		TatD family hydrolase			PMOB_RS00255	768	255	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	47038	47460	-							PMOB_RS00260	423		old_locus_tag=Pmob_0052
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	47038	47460	-	WP_012207908.1	WP_012207908.1		DNA-binding protein			PMOB_RS00260	423	140	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	47667	48500	+							PMOB_RS00265	834		old_locus_tag=Pmob_0053
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	47667	48500	+	WP_012207909.1	WP_012207909.1		Cof-type HAD-IIB family hydrolase			PMOB_RS00265	834	277	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	48451	49263	+							PMOB_RS00270	813		old_locus_tag=Pmob_0054
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	48451	49263	+	WP_155811028.1	WP_155811028.1		hypothetical protein			PMOB_RS00270	813	270	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	49297	50589	+					murA		PMOB_RS00275	1293		old_locus_tag=Pmob_0055
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	49297	50589	+	WP_012207911.1	WP_012207911.1		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA		PMOB_RS00275	1293	430	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	50651	51985	-							PMOB_RS00280	1335		old_locus_tag=Pmob_0056
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	50651	51985	-	WP_012207912.1	WP_012207912.1		hypothetical protein			PMOB_RS00280	1335	444	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	52090	53046	-							PMOB_RS00285	957		old_locus_tag=Pmob_0057
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	52090	53046	-	WP_012207913.1	WP_012207913.1		S-layer homology domain-containing protein			PMOB_RS00285	957	318	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	53146	54339	-					tyrS		PMOB_RS00290	1194		old_locus_tag=Pmob_0058
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	53146	54339	-	WP_012207914.1	WP_012207914.1		tyrosine--tRNA ligase	tyrS		PMOB_RS00290	1194	397	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	54355	54591	-					secG		PMOB_RS00295	237		old_locus_tag=Pmob_0059
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	54355	54591	-	WP_012207915.1	WP_012207915.1		preprotein translocase subunit SecG	secG		PMOB_RS00295	237	78	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	55130	56134	+							PMOB_RS00300	1005		old_locus_tag=Pmob_0060
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	55130	56134	+	WP_158245174.1	WP_158245174.1		LacI family transcriptional regulator			PMOB_RS00300	1005	334	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	56209	58908	+					pulA		PMOB_RS00305	2700		old_locus_tag=Pmob_0061
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	56209	58908	+	WP_012207917.1	WP_012207917.1		type I pullulanase	pulA		PMOB_RS00305	2700	899	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	59054	59962	+							PMOB_RS00310	909		old_locus_tag=Pmob_0062
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	59054	59962	+	WP_012207918.1	WP_012207918.1		RnfABCDGE type electron transport complex subunit D			PMOB_RS00310	909	302	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	59959	60570	+							PMOB_RS00315	612		old_locus_tag=Pmob_0063
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	59959	60570	+	WP_012207919.1	WP_012207919.1		FMN-binding protein			PMOB_RS00315	612	203	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	60570	61181	+							PMOB_RS00320	612		old_locus_tag=Pmob_0064
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	60570	61181	+	WP_012207920.1	WP_012207920.1		NADH:ubiquinone reductase (Na(+)-transporting) subunit D			PMOB_RS00320	612	203	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	61181	61774	+							PMOB_RS00325	594		old_locus_tag=Pmob_0065
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	61181	61774	+	WP_012207921.1	WP_012207921.1		electron transporter RsxE			PMOB_RS00325	594	197	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	61785	62903	+							PMOB_RS00330	1119		old_locus_tag=Pmob_0066
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	61785	62903	+	WP_012207922.1	WP_012207922.1		FAD-binding oxidoreductase			PMOB_RS00330	1119	372	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	62927	63379	+							PMOB_RS00335	453		old_locus_tag=Pmob_0067
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	62927	63379	+	WP_012207923.1	WP_012207923.1		hypothetical protein			PMOB_RS00335	453	150	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	63400	64389	+					argF		PMOB_RS00340	990		old_locus_tag=Pmob_0068
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	63400	64389	+	WP_012207924.1	WP_012207924.1		ornithine carbamoyltransferase	argF		PMOB_RS00340	990	329	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	64395	65336	+					arcC		PMOB_RS00345	942		old_locus_tag=Pmob_0069
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	64395	65336	+	WP_012207925.1	WP_012207925.1		carbamate kinase	arcC		PMOB_RS00345	942	313	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	65359	66168	-							PMOB_RS00350	810		old_locus_tag=Pmob_0070
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	65359	66168	-	WP_012207926.1	WP_012207926.1		MurR/RpiR family transcriptional regulator			PMOB_RS00350	810	269	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	66188	67369	-							PMOB_RS00355	1182		old_locus_tag=Pmob_0071
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	66188	67369	-	WP_012207927.1	WP_012207927.1		glycosyltransferase			PMOB_RS00355	1182	393	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	67403	68377	-							PMOB_RS00360	975		old_locus_tag=Pmob_0072
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	67403	68377	-	WP_012207928.1	WP_012207928.1		carbohydrate ABC transporter permease			PMOB_RS00360	975	324	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	68371	69255	-							PMOB_RS00365	885		old_locus_tag=Pmob_0073
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	68371	69255	-	WP_012207929.1	WP_012207929.1		sugar ABC transporter permease			PMOB_RS00365	885	294	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	69325	70614	-							PMOB_RS00370	1290		old_locus_tag=Pmob_0074
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	69325	70614	-	WP_012207930.1	WP_012207930.1		extracellular solute-binding protein			PMOB_RS00370	1290	429	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	71051	71599	+							PMOB_RS00375	549		old_locus_tag=Pmob_0075
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	71051	71599	+	WP_012207931.1	WP_012207931.1		macro domain-containing protein			PMOB_RS00375	549	182	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	71604	72932	+							PMOB_RS00380	1329		old_locus_tag=Pmob_0076
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	71604	72932	+	WP_012207932.1	WP_012207932.1		phenylacetate--CoA ligase family protein			PMOB_RS00380	1329	442	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	72964	75654	+					polA		PMOB_RS00385	2691		old_locus_tag=Pmob_0077
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	72964	75654	+	WP_012207933.1	WP_012207933.1		DNA polymerase I	polA		PMOB_RS00385	2691	896	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	75928	77235	+					rimO		PMOB_RS00390	1308		old_locus_tag=Pmob_0078
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	75928	77235	+	WP_012207934.1	WP_012207934.1		30S ribosomal protein S12 methylthiotransferase RimO	rimO		PMOB_RS00390	1308	435	
gene	protein_coding	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	77232	77741	+					pgsA		PMOB_RS00395	510		old_locus_tag=Pmob_0079
CDS	with_protein	GCF_000018605.1	Primary Assembly	chromosome		NC_010003.1	77232	77741	+	WP_012207935.1	WP_012207935.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA		PMOB_RS00395	510	169	
