# Assembly name:  ASM292461v1
# Organism name:  Petrotoga halophila DSM 16923 (bacteria)
# Infraspecific name:  strain=DSM 16923
# Taxid:          1122953
# BioSample:      SAMN03351426
# BioProject:     PRJNA233614
# Submitter:      University of Alberta
# Date:           2018-02-08
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JALY01
# Assembly method: CLC NGS Cell v. 6
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002924615.1
# RefSeq assembly accession: GCF_002924615.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002924655.1	GCF_002924655.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
P-halophila_contig_136	unplaced-scaffold	na	na	JALY01000256.1	=	NZ_JALY01000256.1	Primary Assembly	12615	na
P-halophila_contig_137	unplaced-scaffold	na	na	JALY01000005.1	=	NZ_JALY01000005.1	Primary Assembly	2241	na
P-halophila_contig_138	unplaced-scaffold	na	na	JALY01000019.1	=	NZ_JALY01000019.1	Primary Assembly	17018	na
P-halophila_contig_139	unplaced-scaffold	na	na	JALY01000023.1	=	NZ_JALY01000023.1	Primary Assembly	2076	na
P-halophila_contig_14	unplaced-scaffold	na	na	JALY01000122.1	=	NZ_JALY01000122.1	Primary Assembly	9943	na
P-halophila_contig_140	unplaced-scaffold	na	na	JALY01000164.1	=	NZ_JALY01000164.1	Primary Assembly	13276	na
P-halophila_contig_141	unplaced-scaffold	na	na	JALY01000156.1	=	NZ_JALY01000156.1	Primary Assembly	11785	na
P-halophila_contig_142	unplaced-scaffold	na	na	JALY01000196.1	=	NZ_JALY01000196.1	Primary Assembly	20826	na
P-halophila_contig_143	unplaced-scaffold	na	na	JALY01000233.1	=	NZ_JALY01000233.1	Primary Assembly	10272	na
P-halophila_contig_144	unplaced-scaffold	na	na	JALY01000200.1	=	NZ_JALY01000200.1	Primary Assembly	4656	na
P-halophila_contig_145	unplaced-scaffold	na	na	JALY01000201.1	=	NZ_JALY01000201.1	Primary Assembly	4659	na
P-halophila_contig_146	unplaced-scaffold	na	na	JALY01000149.1	=	NZ_JALY01000149.1	Primary Assembly	17460	na
P-halophila_contig_147	unplaced-scaffold	na	na	JALY01000042.1	=	NZ_JALY01000042.1	Primary Assembly	17409	na
P-halophila_contig_148	unplaced-scaffold	na	na	JALY01000062.1	=	NZ_JALY01000062.1	Primary Assembly	10024	na
P-halophila_contig_149	unplaced-scaffold	na	na	JALY01000297.1	=	NZ_JALY01000297.1	Primary Assembly	4377	na
P-halophila_contig_15	unplaced-scaffold	na	na	JALY01000294.1	=	NZ_JALY01000294.1	Primary Assembly	1151	na
P-halophila_contig_150	unplaced-scaffold	na	na	JALY01000052.1	=	NZ_JALY01000052.1	Primary Assembly	9953	na
P-halophila_contig_151	unplaced-scaffold	na	na	JALY01000298.1	=	NZ_JALY01000298.1	Primary Assembly	7612	na
P-halophila_contig_152	unplaced-scaffold	na	na	JALY01000063.1	=	NZ_JALY01000063.1	Primary Assembly	6939	na
P-halophila_contig_153	unplaced-scaffold	na	na	JALY01000077.1	=	NZ_JALY01000077.1	Primary Assembly	4098	na
P-halophila_contig_154	unplaced-scaffold	na	na	JALY01000140.1	=	NZ_JALY01000140.1	Primary Assembly	17354	na
P-halophila_contig_155	unplaced-scaffold	na	na	JALY01000217.1	=	NZ_JALY01000217.1	Primary Assembly	8186	na
P-halophila_contig_156	unplaced-scaffold	na	na	JALY01000218.1	=	NZ_JALY01000218.1	Primary Assembly	2899	na
P-halophila_contig_157	unplaced-scaffold	na	na	JALY01000223.1	=	NZ_JALY01000223.1	Primary Assembly	36880	na
P-halophila_contig_158	unplaced-scaffold	na	na	JALY01000086.1	=	NZ_JALY01000086.1	Primary Assembly	4614	na
P-halophila_contig_159	unplaced-scaffold	na	na	JALY01000010.1	=	NZ_JALY01000010.1	Primary Assembly	8248	na
P-halophila_contig_16	unplaced-scaffold	na	na	JALY01000197.1	=	NZ_JALY01000197.1	Primary Assembly	10358	na
P-halophila_contig_160	unplaced-scaffold	na	na	JALY01000018.1	=	NZ_JALY01000018.1	Primary Assembly	1492	na
P-halophila_contig_161	unplaced-scaffold	na	na	JALY01000257.1	=	NZ_JALY01000257.1	Primary Assembly	24071	na
P-halophila_contig_162	unplaced-scaffold	na	na	JALY01000065.1	=	NZ_JALY01000065.1	Primary Assembly	2429	na
P-halophila_contig_163	unplaced-scaffold	na	na	JALY01000183.1	=	NZ_JALY01000183.1	Primary Assembly	2544	na
P-halophila_contig_164	unplaced-scaffold	na	na	JALY01000299.1	=	NZ_JALY01000299.1	Primary Assembly	8227	na
P-halophila_contig_165	unplaced-scaffold	na	na	JALY01000037.1	=	NZ_JALY01000037.1	Primary Assembly	4020	na
P-halophila_contig_166	unplaced-scaffold	na	na	JALY01000101.1	=	NZ_JALY01000101.1	Primary Assembly	15399	na
P-halophila_contig_167	unplaced-scaffold	na	na	JALY01000125.1	=	NZ_JALY01000125.1	Primary Assembly	9531	na
P-halophila_contig_168	unplaced-scaffold	na	na	JALY01000124.1	=	NZ_JALY01000124.1	Primary Assembly	9092	na
P-halophila_contig_169	unplaced-scaffold	na	na	JALY01000259.1	=	NZ_JALY01000259.1	Primary Assembly	1673	na
P-halophila_contig_17	unplaced-scaffold	na	na	JALY01000116.1	=	NZ_JALY01000116.1	Primary Assembly	42208	na
P-halophila_contig_170	unplaced-scaffold	na	na	JALY01000282.1	=	NZ_JALY01000282.1	Primary Assembly	1690	na
P-halophila_contig_171	unplaced-scaffold	na	na	JALY01000253.1	=	NZ_JALY01000253.1	Primary Assembly	5904	na
P-halophila_contig_172	unplaced-scaffold	na	na	JALY01000244.1	=	NZ_JALY01000244.1	Primary Assembly	9169	na
P-halophila_contig_173	unplaced-scaffold	na	na	JALY01000106.1	=	NZ_JALY01000106.1	Primary Assembly	3467	na
P-halophila_contig_174	unplaced-scaffold	na	na	JALY01000300.1	=	NZ_JALY01000300.1	Primary Assembly	3468	na
P-halophila_contig_175	unplaced-scaffold	na	na	JALY01000301.1	=	NZ_JALY01000301.1	Primary Assembly	1580	na
P-halophila_contig_176	unplaced-scaffold	na	na	JALY01000094.1	=	NZ_JALY01000094.1	Primary Assembly	6031	na
P-halophila_contig_177	unplaced-scaffold	na	na	JALY01000302.1	=	NZ_JALY01000302.1	Primary Assembly	1545	na
P-halophila_contig_178	unplaced-scaffold	na	na	JALY01000303.1	=	NZ_JALY01000303.1	Primary Assembly	1553	na
P-halophila_contig_179	unplaced-scaffold	na	na	JALY01000210.1	=	NZ_JALY01000210.1	Primary Assembly	7168	na
P-halophila_contig_18	unplaced-scaffold	na	na	JALY01000056.1	=	NZ_JALY01000056.1	Primary Assembly	63466	na
P-halophila_contig_180	unplaced-scaffold	na	na	JALY01000060.1	=	NZ_JALY01000060.1	Primary Assembly	7539	na
P-halophila_contig_181	unplaced-scaffold	na	na	JALY01000277.1	=	NZ_JALY01000277.1	Primary Assembly	3269	na
P-halophila_contig_182	unplaced-scaffold	na	na	JALY01000154.1	=	NZ_JALY01000154.1	Primary Assembly	3048	na
P-halophila_contig_183	unplaced-scaffold	na	na	JALY01000084.1	=	NZ_JALY01000084.1	Primary Assembly	4260	na
P-halophila_contig_184	unplaced-scaffold	na	na	JALY01000036.1	=	NZ_JALY01000036.1	Primary Assembly	15536	na
P-halophila_contig_185	unplaced-scaffold	na	na	JALY01000271.1	=	NZ_JALY01000271.1	Primary Assembly	4319	na
P-halophila_contig_186	unplaced-scaffold	na	na	JALY01000286.1	=	NZ_JALY01000286.1	Primary Assembly	1546	na
P-halophila_contig_187	unplaced-scaffold	na	na	JALY01000238.1	=	NZ_JALY01000238.1	Primary Assembly	7741	na
P-halophila_contig_188	unplaced-scaffold	na	na	JALY01000057.1	=	NZ_JALY01000057.1	Primary Assembly	4340	na
P-halophila_contig_189	unplaced-scaffold	na	na	JALY01000024.1	=	NZ_JALY01000024.1	Primary Assembly	5785	na
P-halophila_contig_19	unplaced-scaffold	na	na	JALY01000054.1	=	NZ_JALY01000054.1	Primary Assembly	8470	na
P-halophila_contig_190	unplaced-scaffold	na	na	JALY01000242.1	=	NZ_JALY01000242.1	Primary Assembly	4960	na
P-halophila_contig_191	unplaced-scaffold	na	na	JALY01000213.1	=	NZ_JALY01000213.1	Primary Assembly	2261	na
P-halophila_contig_192	unplaced-scaffold	na	na	JALY01000212.1	=	NZ_JALY01000212.1	Primary Assembly	4853	na
P-halophila_contig_193	unplaced-scaffold	na	na	JALY01000249.1	=	NZ_JALY01000249.1	Primary Assembly	11419	na
P-halophila_contig_194	unplaced-scaffold	na	na	JALY01000173.1	=	NZ_JALY01000173.1	Primary Assembly	19163	na
P-halophila_contig_195	unplaced-scaffold	na	na	JALY01000064.1	=	NZ_JALY01000064.1	Primary Assembly	1254	na
P-halophila_contig_196	unplaced-scaffold	na	na	JALY01000058.1	=	NZ_JALY01000058.1	Primary Assembly	2403	na
P-halophila_contig_197	unplaced-scaffold	na	na	JALY01000304.1	=	NZ_JALY01000304.1	Primary Assembly	1619	na
P-halophila_contig_198	unplaced-scaffold	na	na	JALY01000260.1	=	NZ_JALY01000260.1	Primary Assembly	10448	na
P-halophila_contig_199	unplaced-scaffold	na	na	JALY01000070.1	=	NZ_JALY01000070.1	Primary Assembly	5491	na
P-halophila_contig_2	unplaced-scaffold	na	na	JALY01000098.1	=	NZ_JALY01000098.1	Primary Assembly	6603	na
P-halophila_contig_20	unplaced-scaffold	na	na	JALY01000013.1	=	NZ_JALY01000013.1	Primary Assembly	9589	na
P-halophila_contig_200	unplaced-scaffold	na	na	JALY01000305.1	=	NZ_JALY01000305.1	Primary Assembly	1785	na
P-halophila_contig_201	unplaced-scaffold	na	na	JALY01000038.1	=	NZ_JALY01000038.1	Primary Assembly	11469	na
P-halophila_contig_202	unplaced-scaffold	na	na	JALY01000039.1	=	NZ_JALY01000039.1	Primary Assembly	5132	na
P-halophila_contig_203	unplaced-scaffold	na	na	JALY01000306.1	=	NZ_JALY01000306.1	Primary Assembly	3180	na
P-halophila_contig_204	unplaced-scaffold	na	na	JALY01000307.1	=	NZ_JALY01000307.1	Primary Assembly	1360	na
P-halophila_contig_205	unplaced-scaffold	na	na	JALY01000251.1	=	NZ_JALY01000251.1	Primary Assembly	6039	na
P-halophila_contig_206	unplaced-scaffold	na	na	JALY01000308.1	=	NZ_JALY01000308.1	Primary Assembly	1851	na
P-halophila_contig_207	unplaced-scaffold	na	na	JALY01000309.1	=	NZ_JALY01000309.1	Primary Assembly	1264	na
P-halophila_contig_208	unplaced-scaffold	na	na	JALY01000310.1	=	NZ_JALY01000310.1	Primary Assembly	4053	na
P-halophila_contig_209	unplaced-scaffold	na	na	JALY01000275.1	=	NZ_JALY01000275.1	Primary Assembly	3875	na
P-halophila_contig_21	unplaced-scaffold	na	na	JALY01000017.1	=	NZ_JALY01000017.1	Primary Assembly	23316	na
P-halophila_contig_210	unplaced-scaffold	na	na	JALY01000311.1	=	NZ_JALY01000311.1	Primary Assembly	1104	na
P-halophila_contig_211	unplaced-scaffold	na	na	JALY01000026.1	=	NZ_JALY01000026.1	Primary Assembly	7908	na
P-halophila_contig_212	unplaced-scaffold	na	na	JALY01000020.1	=	NZ_JALY01000020.1	Primary Assembly	2636	na
P-halophila_contig_213	unplaced-scaffold	na	na	JALY01000265.1	=	NZ_JALY01000265.1	Primary Assembly	3290	na
P-halophila_contig_214	unplaced-scaffold	na	na	JALY01000230.1	=	NZ_JALY01000230.1	Primary Assembly	7858	na
P-halophila_contig_215	unplaced-scaffold	na	na	JALY01000126.1	=	NZ_JALY01000126.1	Primary Assembly	8144	na
P-halophila_contig_216	unplaced-scaffold	na	na	JALY01000234.1	=	NZ_JALY01000234.1	Primary Assembly	2629	na
P-halophila_contig_217	unplaced-scaffold	na	na	JALY01000091.1	=	NZ_JALY01000091.1	Primary Assembly	7884	na
P-halophila_contig_218	unplaced-scaffold	na	na	JALY01000248.1	=	NZ_JALY01000248.1	Primary Assembly	11277	na
P-halophila_contig_219	unplaced-scaffold	na	na	JALY01000226.1	=	NZ_JALY01000226.1	Primary Assembly	37050	na
P-halophila_contig_22	unplaced-scaffold	na	na	JALY01000160.1	=	NZ_JALY01000160.1	Primary Assembly	9851	na
P-halophila_contig_220	unplaced-scaffold	na	na	JALY01000162.1	=	NZ_JALY01000162.1	Primary Assembly	3989	na
P-halophila_contig_221	unplaced-scaffold	na	na	JALY01000243.1	=	NZ_JALY01000243.1	Primary Assembly	2105	na
P-halophila_contig_222	unplaced-scaffold	na	na	JALY01000285.1	=	NZ_JALY01000285.1	Primary Assembly	7042	na
P-halophila_contig_223	unplaced-scaffold	na	na	JALY01000148.1	=	NZ_JALY01000148.1	Primary Assembly	1435	na
P-halophila_contig_224	unplaced-scaffold	na	na	JALY01000229.1	=	NZ_JALY01000229.1	Primary Assembly	9245	na
P-halophila_contig_225	unplaced-scaffold	na	na	JALY01000075.1	=	NZ_JALY01000075.1	Primary Assembly	2068	na
P-halophila_contig_226	unplaced-scaffold	na	na	JALY01000103.1	=	NZ_JALY01000103.1	Primary Assembly	3526	na
P-halophila_contig_227	unplaced-scaffold	na	na	JALY01000170.1	=	NZ_JALY01000170.1	Primary Assembly	3358	na
P-halophila_contig_228	unplaced-scaffold	na	na	JALY01000102.1	=	NZ_JALY01000102.1	Primary Assembly	1517	na
P-halophila_contig_229	unplaced-scaffold	na	na	JALY01000029.1	=	NZ_JALY01000029.1	Primary Assembly	9137	na
P-halophila_contig_23	unplaced-scaffold	na	na	JALY01000144.1	=	NZ_JALY01000144.1	Primary Assembly	4265	na
P-halophila_contig_230	unplaced-scaffold	na	na	JALY01000028.1	=	NZ_JALY01000028.1	Primary Assembly	2359	na
P-halophila_contig_231	unplaced-scaffold	na	na	JALY01000312.1	=	NZ_JALY01000312.1	Primary Assembly	7072	na
P-halophila_contig_232	unplaced-scaffold	na	na	JALY01000245.1	=	NZ_JALY01000245.1	Primary Assembly	8363	na
P-halophila_contig_233	unplaced-scaffold	na	na	JALY01000195.1	=	NZ_JALY01000195.1	Primary Assembly	3983	na
P-halophila_contig_234	unplaced-scaffold	na	na	JALY01000043.1	=	NZ_JALY01000043.1	Primary Assembly	4523	na
P-halophila_contig_235	unplaced-scaffold	na	na	JALY01000224.1	=	NZ_JALY01000224.1	Primary Assembly	11129	na
P-halophila_contig_236	unplaced-scaffold	na	na	JALY01000216.1	=	NZ_JALY01000216.1	Primary Assembly	3725	na
P-halophila_contig_237	unplaced-scaffold	na	na	JALY01000087.1	=	NZ_JALY01000087.1	Primary Assembly	1531	na
P-halophila_contig_238	unplaced-scaffold	na	na	JALY01000119.1	=	NZ_JALY01000119.1	Primary Assembly	2689	na
P-halophila_contig_239	unplaced-scaffold	na	na	JALY01000128.1	=	NZ_JALY01000128.1	Primary Assembly	1854	na
P-halophila_contig_24	unplaced-scaffold	na	na	JALY01000006.1	=	NZ_JALY01000006.1	Primary Assembly	15122	na
P-halophila_contig_240	unplaced-scaffold	na	na	JALY01000110.1	=	NZ_JALY01000110.1	Primary Assembly	1542	na
P-halophila_contig_241	unplaced-scaffold	na	na	JALY01000114.1	=	NZ_JALY01000114.1	Primary Assembly	5116	na
P-halophila_contig_242	unplaced-scaffold	na	na	JALY01000001.1	=	NZ_JALY01000001.1	Primary Assembly	6960	na
P-halophila_contig_243	unplaced-scaffold	na	na	JALY01000267.1	=	NZ_JALY01000267.1	Primary Assembly	5126	na
P-halophila_contig_244	unplaced-scaffold	na	na	JALY01000146.1	=	NZ_JALY01000146.1	Primary Assembly	5221	na
P-halophila_contig_245	unplaced-scaffold	na	na	JALY01000266.1	=	NZ_JALY01000266.1	Primary Assembly	3627	na
P-halophila_contig_246	unplaced-scaffold	na	na	JALY01000007.1	=	NZ_JALY01000007.1	Primary Assembly	1688	na
P-halophila_contig_247	unplaced-scaffold	na	na	JALY01000313.1	=	NZ_JALY01000313.1	Primary Assembly	4862	na
P-halophila_contig_248	unplaced-scaffold	na	na	JALY01000236.1	=	NZ_JALY01000236.1	Primary Assembly	2761	na
P-halophila_contig_249	unplaced-scaffold	na	na	JALY01000314.1	=	NZ_JALY01000314.1	Primary Assembly	2846	na
P-halophila_contig_25	unplaced-scaffold	na	na	JALY01000016.1	=	NZ_JALY01000016.1	Primary Assembly	27186	na
P-halophila_contig_250	unplaced-scaffold	na	na	JALY01000141.1	=	NZ_JALY01000141.1	Primary Assembly	11665	na
P-halophila_contig_251	unplaced-scaffold	na	na	JALY01000315.1	=	NZ_JALY01000315.1	Primary Assembly	1982	na
P-halophila_contig_252	unplaced-scaffold	na	na	JALY01000316.1	=	NZ_JALY01000316.1	Primary Assembly	3413	na
P-halophila_contig_253	unplaced-scaffold	na	na	JALY01000194.1	=	NZ_JALY01000194.1	Primary Assembly	1453	na
P-halophila_contig_254	unplaced-scaffold	na	na	JALY01000193.1	=	NZ_JALY01000193.1	Primary Assembly	2792	na
P-halophila_contig_255	unplaced-scaffold	na	na	JALY01000190.1	=	NZ_JALY01000190.1	Primary Assembly	1105	na
P-halophila_contig_256	unplaced-scaffold	na	na	JALY01000184.1	=	NZ_JALY01000184.1	Primary Assembly	2510	na
P-halophila_contig_257	unplaced-scaffold	na	na	JALY01000263.1	=	NZ_JALY01000263.1	Primary Assembly	6159	na
P-halophila_contig_258	unplaced-scaffold	na	na	JALY01000113.1	=	NZ_JALY01000113.1	Primary Assembly	4321	na
P-halophila_contig_259	unplaced-scaffold	na	na	JALY01000012.1	=	NZ_JALY01000012.1	Primary Assembly	7360	na
P-halophila_contig_26	unplaced-scaffold	na	na	JALY01000015.1	=	NZ_JALY01000015.1	Primary Assembly	1517	na
P-halophila_contig_260	unplaced-scaffold	na	na	JALY01000317.1	=	NZ_JALY01000317.1	Primary Assembly	1194	na
P-halophila_contig_261	unplaced-scaffold	na	na	JALY01000272.1	=	NZ_JALY01000272.1	Primary Assembly	1184	na
P-halophila_contig_262	unplaced-scaffold	na	na	JALY01000053.1	=	NZ_JALY01000053.1	Primary Assembly	4646	na
P-halophila_contig_263	unplaced-scaffold	na	na	JALY01000069.1	=	NZ_JALY01000069.1	Primary Assembly	1233	na
P-halophila_contig_264	unplaced-scaffold	na	na	JALY01000240.1	=	NZ_JALY01000240.1	Primary Assembly	4116	na
P-halophila_contig_265	unplaced-scaffold	na	na	JALY01000241.1	=	NZ_JALY01000241.1	Primary Assembly	1607	na
P-halophila_contig_266	unplaced-scaffold	na	na	JALY01000283.1	=	NZ_JALY01000283.1	Primary Assembly	1879	na
P-halophila_contig_267	unplaced-scaffold	na	na	JALY01000318.1	=	NZ_JALY01000318.1	Primary Assembly	1204	na
P-halophila_contig_268	unplaced-scaffold	na	na	JALY01000290.1	=	NZ_JALY01000290.1	Primary Assembly	2570	na
P-halophila_contig_269	unplaced-scaffold	na	na	JALY01000281.1	=	NZ_JALY01000281.1	Primary Assembly	2469	na
P-halophila_contig_27	unplaced-scaffold	na	na	JALY01000187.1	=	NZ_JALY01000187.1	Primary Assembly	12090	na
P-halophila_contig_270	unplaced-scaffold	na	na	JALY01000319.1	=	NZ_JALY01000319.1	Primary Assembly	8000	na
P-halophila_contig_271	unplaced-scaffold	na	na	JALY01000041.1	=	NZ_JALY01000041.1	Primary Assembly	2769	na
P-halophila_contig_272	unplaced-scaffold	na	na	JALY01000320.1	=	NZ_JALY01000320.1	Primary Assembly	3418	na
P-halophila_contig_273	unplaced-scaffold	na	na	JALY01000031.1	=	NZ_JALY01000031.1	Primary Assembly	3595	na
P-halophila_contig_274	unplaced-scaffold	na	na	JALY01000321.1	=	NZ_JALY01000321.1	Primary Assembly	1732	na
P-halophila_contig_275	unplaced-scaffold	na	na	JALY01000322.1	=	NZ_JALY01000322.1	Primary Assembly	2025	na
P-halophila_contig_276	unplaced-scaffold	na	na	JALY01000081.1	=	NZ_JALY01000081.1	Primary Assembly	9174	na
P-halophila_contig_277	unplaced-scaffold	na	na	JALY01000268.1	=	NZ_JALY01000268.1	Primary Assembly	4319	na
P-halophila_contig_278	unplaced-scaffold	na	na	JALY01000323.1	=	NZ_JALY01000323.1	Primary Assembly	5829	na
P-halophila_contig_279	unplaced-scaffold	na	na	JALY01000214.1	=	NZ_JALY01000214.1	Primary Assembly	1423	na
P-halophila_contig_28	unplaced-scaffold	na	na	JALY01000002.1	=	NZ_JALY01000002.1	Primary Assembly	7861	na
P-halophila_contig_280	unplaced-scaffold	na	na	JALY01000111.1	=	NZ_JALY01000111.1	Primary Assembly	2769	na
P-halophila_contig_281	unplaced-scaffold	na	na	JALY01000278.1	=	NZ_JALY01000278.1	Primary Assembly	1382	na
P-halophila_contig_282	unplaced-scaffold	na	na	JALY01000324.1	=	NZ_JALY01000324.1	Primary Assembly	2659	na
P-halophila_contig_283	unplaced-scaffold	na	na	JALY01000079.1	=	NZ_JALY01000079.1	Primary Assembly	1053	na
P-halophila_contig_284	unplaced-scaffold	na	na	JALY01000073.1	=	NZ_JALY01000073.1	Primary Assembly	5793	na
